"date","total_value","km","category_name","observation","supplier","vehicle_model","plate","cost_name","invoice_number","attachment_url","id","created_date","updated_date","created_by_id","created_by","is_sample"
"2026-07-01","180","","BAÚ 3/4","","FORT LAVA JATO","M.BENZ ACCELO 1017 CE","SDK8F89","LAVAGEM DE VEÍCULOS","828","https://base44.app/api/apps/6a0720445c9dd6ed8a2275ec/files/mp/public/6a0720445c9dd6ed8a2275ec/7e02c5bee_828.pdf","6a4804c0c067782b93a9eb74","2026-07-03T18:51:44.169000","2026-07-03T18:51:44.169000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-05-04","197.18","","SAVEIROS","R030780623 MULTA","DEPARTAMENTO ESTADUAL DE TRANSITO","VW SAVEIRO","NKV6598","MULTAS DE TRÂNSITO","30357","","6a353541080c0b6a2cf224fd","2026-06-19T12:25:37.416000","2026-06-19T12:25:37.416000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-05-02","175","","CARRETAS LS","","FORT LAVAJATO","CARRETA LIBRELATO CRBAENI2","SCR8F89","LAVAGEM DE VEÍCULOS","643","","6a3153fa0a472392312b45e7","2026-06-16T13:47:38.627000","2026-06-16T13:47:38.627000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-05-02","175","","CAVALO","","FORT LAVA JATO","M.BENZ ACTROS 2651S","SCE8F89","LAVAGEM DE VEÍCULOS","643","","6a3153b6b49e84a8289651ff","2026-06-16T13:46:30.874000","2026-06-16T13:46:30.874000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-05-02","280","","TRUCK","","FORT LAVAJATO","M.BENZ ATEGO 2429CE CAÇAMBA","SCA8F89","LAVAGEM DE VEÍCULOS","643","","6a315369802a83f8a7d207fc","2026-06-16T13:45:13.110000","2026-06-16T13:45:13.110000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-05-07","129.17","","STRADAS","","MANOEL MESSIAS DE SOUZA","FIAT STRADA ENDURAN CS13","SDN9A99","LAVAGEM DE VEÍCULOS","91","","6a3152947b2db6722f20122b","2026-06-16T13:41:40.724000","2026-06-16T13:41:40.724000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-05-07","58.33","","SAVEIROS","","MANOEL MESSIAS DE SOUZA","VW SAVEIRO CS RB MF","TGB8F88","LAVAGEM DE VEÍCULOS","91","","6a3152674c7f416789bcc852","2026-06-16T13:40:55.244000","2026-06-16T13:40:55.244000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-05-07","112.5","","SAVEIROS","","MANOEL MESSIAS DE SOUZA","VW SAVEIRO CS RB MF","TGD8F88","LAVAGEM DE VEÍCULOS","91","","6a31512cc96a35af41fed025","2026-06-16T13:35:40.477000","2026-06-16T13:39:47.308000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-05-07","116.67","","SAVEIROS","","MANOEL MESSIAS DE SOUZA","VW SAVEIRO CS RB MF","TGA8F88","LAVAGEM DE VEÍCULOS","91","","6a3151180bc056f9a139a101","2026-06-16T13:35:20.875000","2026-06-16T13:37:54.628000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-05-07","58.33","","SAVEIROS","","MANOEL MESSIAS DE SOUZA","VW SAVEIRO CS RB MF","TGE8F88","LAVAGEM DE VEÍCULOS","91","","6a31510580911a49cf6cc2b3","2026-06-16T13:35:01.423000","2026-06-16T13:38:17.604000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-05-07","62.5","","PRESIDÊNCIA","","MANOEL MESSIAS DE SOUZA","TOYOTA COROLLA XEI 20","RTK7F94","LAVAGEM DE VEÍCULOS","91","","6a3150e88db834dade3cae9d","2026-06-16T13:34:32.901000","2026-06-16T13:39:07.253000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-05-07","112.5","","GOL","","MANOEL MESSIAS DE SOUZA","VW GOL CINZA","SCD6D92","LAVAGEM DE VEÍCULOS","91","","6a3150acabe5b983b53afc25","2026-06-16T13:33:32.410000","2026-06-16T13:33:32.410000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-05-28","3385.28","","SEM PLACAS","CUSTOS COM RASTREADOR ","BLOCK SAT","S/MODELO","0000000","RASTREADOR DE VEÍCULOS","3385,28","","6a314eb2e6780ac12b2654a2","2026-06-16T13:25:06.005000","2026-07-15T12:45:20.492000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-05-12","3600","","SEM PLACAS","PEDAGIO MÊS 05","CONECTCAR INSTITUIÇÃO DE PAGAMENTO  E SOLUCOES DE MOBILIDADE ELETRONICA S.A","S/MODELO","0000000","PEDÁGIO","1205","","6a314e6ecac6ee673f3cf950","2026-06-16T13:23:58.441000","2026-07-15T12:44:34.283000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-04-01","160","","BAÚ 3/4","","FORT LAVAJATO","M.BENZ ACCELO 1017 CE","SDF8F89","LAVAGEM DE VEÍCULOS","530","","6a197d62978931e6b4e6df92","2026-05-29T11:49:54.620000","2026-05-29T11:49:54.620000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-04-01","390","","BAÚ 3/4","","FORT LAVAJATO","M.BENZ ACCELO 1017 CE","SDN8F89","LAVAGEM DE VEÍCULOS","530","","6a197d41bbdc1ff032c100c5","2026-05-29T11:49:21.305000","2026-05-29T11:49:21.305000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-04-13","500","","SEM PLACAS","PEDAGIOS","CONECTCAR INSTITUICAO DE PAGAMENTO E SOLUCOES DE MOBILIDADE ELETRONICA S.A","S/MODELO","0000000","PEDÁGIO","855","","6a09c8fc8a3ec096597c34b7","2026-05-17T13:56:12.980000","2026-07-15T16:39:38.930000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-03-12","4070","","SEM PLACAS","PEDAGIO - CARTÃO DE CREDITO","CONECTCAR INSTITUICAO DE PAGAMENTO E SOLUCOES DE MOBILIDADE ELETRONICA S.A","S/MODELO","0000000","PEDÁGIO","1203","","6a09c8fc8a3ec096597c34b9","2026-05-17T13:56:12.980000","2026-07-15T16:39:55.722000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-02-27","3434.34","","SEM PLACAS","SERVIÇO DE MONITORAMENTO DE VEICULO 06/02 a 05/03 QUANTIDADE: 70,00 VALOR UNITARIO: 52,00","BLOCK SAT","S/MODELO","0000000","RASTREADOR DE VEÍCULOS","1044","","6a09c8fc8a3ec096597c34bd","2026-05-17T13:56:12.980000","2026-07-15T16:40:00.221000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-04-10","7800","","SEM PLACAS","DESPESA COM PEDAGIO","CONECTCAR INSTITUICAO DE PAGAMENTO E SOLUCOES DE MOBILIDADE ELETRONICA S.A","S/MODELO","0000000","PEDÁGIO","1004","","6a09c8fc8a3ec096597c34b8","2026-05-17T13:56:12.980000","2026-07-15T16:39:46.868000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-04-24","3385.28","","SEM PLACAS","SERVIÇO DE MONITORAMENTO DE VEICULO PERIODO 06/04/2026 A 05/05/2026 - ORDEM DE COMPRA: 53366 PEDIDO DE VENDA: 53363 CIDADE OCIDENTAL/GO 23 VEICULOS X 52 = 1.196,00","BLOCK SAT","S/MODELO","0000000","RASTREADOR DE VEÍCULOS","1433","","6a09c8fc8a3ec096597c34bb","2026-05-17T13:56:12.980000","2026-07-15T16:39:34.803000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-04-13","500","","SEM PLACAS","PEDAGIOS","CONECTCAR INSTITUICAO DE PAGAMENTO E SOLUCOES DE MOBILIDADE ELETRONICA S.A","S/MODELO","0000000","PEDÁGIO","926","","6a09c8fc8a3ec096597c34b6","2026-05-17T13:56:12.980000","2026-07-15T16:39:42.863000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-03-24","3434.34","","SEM PLACAS","SERVIÇO DE MONITORAMENTO DE VEICULO PERIODO: 06-03 A 05-04-2026 QUANTIDADE: 70 VALOR UNITARIO: 52,00","BLOCK SAT","S/MODELO","0000000","RASTREADOR DE VEÍCULOS","1240","","6a09c8fc8a3ec096597c34bc","2026-05-17T13:56:12.980000","2026-07-15T16:39:51.395000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-01-30","3434.34","","SEM PLACAS","SERVIÇO DE MONITORAMENTO DE VEICULOS","BLOCK SAT","S/MODELO","0000000","RASTREADOR DE VEÍCULOS","829","","6a09c8fc8a3ec096597c34be","2026-05-17T13:56:12.980000","2026-07-15T16:40:09.303000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-02-13","1000","","SEM PLACAS","DESPESA COM PEDAGIOS - 2 FATURAS NO VALOR DE 500,00 CADA","CONECTCAR INSTITUICAO DE PAGAMENTO E SOLUCOES DE MOBILIDADE ELETRONICA S.A","S/MODELO","0000000","PEDÁGIO","7001","","6a09c8fc8a3ec096597c34ba","2026-05-17T13:56:12.980000","2026-07-15T16:40:05.065000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-01-06","200","","","","FORT LAVAJATO","","SCN8F89","LAVAGEM DE VEÍCULOS","253","","6a09c8ac0d02b1385f5e359e","2026-05-17T13:54:52.931000","2026-05-29T11:39:51.208000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-02-02","175","","","","FORT LAVAJATO","","SCR8F89","LAVAGEM DE VEÍCULOS","341","","6a09c8ac0d02b1385f5e3599","2026-05-17T13:54:52.931000","2026-05-29T11:39:37.003000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-01-02","200","","","","FORT LAVAJATO","","RCN5F85","LAVAGEM DE VEÍCULOS","253","","6a09c8ac0d02b1385f5e359b","2026-05-17T13:54:52.931000","2026-05-29T11:40:02.631000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-02-02","175","","","","FORT LAVAJATO","","RAE7F23","LAVAGEM DE VEÍCULOS","341","","6a09c8ac0d02b1385f5e3595","2026-05-17T13:54:52.931000","2026-05-29T11:39:22.239000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-02-02","175","","","","FORT LAVAJATO","","RCJ1E32","LAVAGEM DE VEÍCULOS","341","","6a09c8ac0d02b1385f5e3596","2026-05-17T13:54:52.931000","2026-05-29T11:39:27.254000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-01-06","160","","","","FORT LAVAJATO","","SCE8F89","LAVAGEM DE VEÍCULOS","253","","6a09c8ac0d02b1385f5e359f","2026-05-17T13:54:52.931000","2026-05-29T11:39:47.626000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-02-12","120","","","","60.085.899 MANOEL MESSIAS DE SOUZA","","TGD8F88","LAVAGEM DE VEÍCULOS","82","","6a09c8ac0d02b1385f5e3593","2026-05-17T13:54:52.931000","2026-05-29T11:38:56.369000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-02-12","120","","","","60.085.899 MANOEL MESSIAS DE SOUZA","","TGA8F88","LAVAGEM DE VEÍCULOS","82","","6a09c8ac0d02b1385f5e3592","2026-05-17T13:54:52.931000","2026-05-29T11:39:00.117000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-02-02","175","","","","FORT LAVAJATO","","SCE8F89","LAVAGEM DE VEÍCULOS","341","","6a09c8ac0d02b1385f5e3598","2026-05-17T13:54:52.931000","2026-05-29T11:39:18.796000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-02-02","220","","","","FORT LAVAJATO","","SCB8F89","LAVAGEM DE VEÍCULOS","341","","6a09c8ac0d02b1385f5e3597","2026-05-17T13:54:52.931000","2026-05-29T11:39:33.336000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-02-12","60","","","","60.085.899 MANOEL MESSIAS DE SOUZA","","TGE8F88","LAVAGEM DE VEÍCULOS","82","","6a09c8ac0d02b1385f5e3594","2026-05-17T13:54:52.931000","2026-05-29T11:38:52.688000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-01-06","160","","","","FORT LAVAJATO","","SCR8F89","LAVAGEM DE VEÍCULOS","253","","6a09c8ac0d02b1385f5e35a0","2026-05-17T13:54:52.931000","2026-05-29T11:39:44.016000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-01-02","200","","","","FORT LAVAJATO","","SCB8F89","LAVAGEM DE VEÍCULOS","253","","6a09c8ac0d02b1385f5e359d","2026-05-17T13:54:52.931000","2026-05-29T11:39:54.489000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-01-02","200","","","","FORT LAVAJATO","","RCI5J55","LAVAGEM DE VEÍCULOS","253","","6a09c8ac0d02b1385f5e359a","2026-05-17T13:54:52.931000","2026-05-29T11:40:06.057000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-01-06","140","","","","FORT LAVAJATO","","SDF8F89","LAVAGEM DE VEÍCULOS","253","","6a09c8ac0d02b1385f5e35a1","2026-05-17T13:54:52.931000","2026-05-29T11:39:40.049000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-01-02","200","","","","FORT LAVAJATO","","SCA8F89","LAVAGEM DE VEÍCULOS","253","","6a09c8ac0d02b1385f5e359c","2026-05-17T13:54:52.931000","2026-05-29T11:39:57.826000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-03-26","65","","","","60.085.899 MANOEL MESSIAS DE SOUZA","","ONP5G56","LAVAGEM DE VEÍCULOS","88","","6a09c8ac0d02b1385f5e358a","2026-05-17T13:54:52.930000","2026-05-29T11:38:49.649000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-02-12","60","","","","60.085.899 MANOEL MESSIAS DE SOUZA","","TGC8F88","LAVAGEM DE VEÍCULOS","82","","6a09c8ac0d02b1385f5e3591","2026-05-17T13:54:52.930000","2026-05-29T11:39:04.830000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-04-01","220","","","","FORT LAVAJATO","","SCN8F89","LAVAGEM DE VEÍCULOS","530","","6a09c8ac0d02b1385f5e3586","2026-05-17T13:54:52.930000","2026-05-29T11:38:20.157000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-04-01","220","","","","FORT LAVAJATO","","SCB8F89","LAVAGEM DE VEÍCULOS","530","","6a09c8ac0d02b1385f5e3585","2026-05-17T13:54:52.930000","2026-05-29T11:38:23.736000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-04-01","220","","","","FORT LAVAJATO","","SCA8F89","LAVAGEM DE VEÍCULOS","530","","6a09c8ac0d02b1385f5e3584","2026-05-17T13:54:52.930000","2026-05-29T11:38:33.953000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-03-26","75","","","","60.085.899 MANOEL MESSIAS DE SOUZA","","RTK7F94","LAVAGEM DE VEÍCULOS","88","","6a09c8ac0d02b1385f5e358b","2026-05-17T13:54:52.930000","2026-05-29T11:38:46.227000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-03-26","65","","","","60.085.899 MANOEL MESSIAS DE SOUZA","","TGA8F88","LAVAGEM DE VEÍCULOS","88","","6a09c8ac0d02b1385f5e358d","2026-05-17T13:54:52.930000","2026-05-29T11:38:37.830000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-02-12","60","","","","60.085.899 MANOEL MESSIAS DE SOUZA","","SDF7I44","LAVAGEM DE VEÍCULOS","82","","6a09c8ac0d02b1385f5e358f","2026-05-17T13:54:52.930000","2026-05-29T11:39:11.700000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-04-01","160","","","","FORT LAVAJATO","","SDK8F89","LAVAGEM DE VEÍCULOS","530","","6a09c8ac0d02b1385f5e3589","2026-05-17T13:54:52.930000","2026-05-29T11:38:13.339000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-03-26","65","","","","60.085.899 MANOEL MESSIAS DE SOUZA","","TGB8F88","LAVAGEM DE VEÍCULOS","88","","6a09c8ac0d02b1385f5e358c","2026-05-17T13:54:52.930000","2026-05-29T11:38:42.127000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-02-12","60","","","","60.085.899 MANOEL MESSIAS DE SOUZA","","NKV6598","LAVAGEM DE VEÍCULOS","82","","6a09c8ac0d02b1385f5e358e","2026-05-17T13:54:52.930000","2026-05-29T11:39:15.069000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-02-12","60","","","","60.085.899 MANOEL MESSIAS DE SOUZA","","SCD6D92","LAVAGEM DE VEÍCULOS","82","","6a09c8ac0d02b1385f5e3590","2026-05-17T13:54:52.930000","2026-05-29T11:39:08.310000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-02-18","130.16","","","DESPESA COM MULTA DE TRANSITO RD00315030 BRUNA","MUNICIPIO DE GOIANIA - GO","","SCF8F89","MULTAS DE TRÂNSITO","315030","","6a09c833d1971a5cf5fb4c9b","2026-05-17T13:52:51.533000","2026-05-29T11:45:24.496000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-01-10","104.13","","PRESIDÊNCIA","","DEPARTAMENTO ESTADUAL DE TRANSITO","","SCU8F80","MULTAS DE TRÂNSITO","5806","","6a09c833d1971a5cf5fb4ca6","2026-05-17T13:52:51.533000","2026-05-29T11:46:07.844000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-03-02","2347.76","","","DADOS DA INFRAÇÃO T006784769 VEICULO: RANGER[RBK9F96]","DEPARTAMENTO ESTADUAL DE TRANSITO","","RBK9F96","MULTAS DE TRÂNSITO","9923","","6a09c833d1971a5cf5fb4c9c","2026-05-17T13:52:51.533000","2026-05-29T11:45:10.747000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-01-28","130.16","","","MULTA DE TRANSITO RD000135776","DEPARTAMENTO ESTADUAL DE TRANSITO","","RTK7F94","MULTAS DE TRÂNSITO","2498","","6a09c833d1971a5cf5fb4c9f","2026-05-17T13:52:51.533000","2026-05-29T11:45:29.157000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-04-29","131.46","","","MULTA DE TRANSITO R030565886-","DEPARTAMENTO ESTADUAL DE TRANSITO","","TGC8F88","MULTAS DE TRÂNSITO","4659","","6a09c833d1971a5cf5fb4c9d","2026-05-17T13:52:51.533000","2026-05-29T11:44:49.528000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-01-15","299.98","","","DESPESA COM MULTA - INFRAÇÃO - TR00607301 FOI DESCONTADO NA RECISÃO PAULO MOTORISTA","DEPARTAMENTO ESTADUAL DE TRANSITO","","SDF8F89","MULTAS DE TRÂNSITO","5607","","6a09c833d1971a5cf5fb4ca1","2026-05-17T13:52:51.533000","2026-05-29T11:45:50.585000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-01-28","260.32","","","NIC0029755 MULTA DE TRANSITO MULTA AUTOCONDUTOR","DEPARTAMENTO ESTADUAL DE TRANSITO","","RTK7F94","MULTAS DE TRÂNSITO","4140","","6a09c833d1971a5cf5fb4ca0","2026-05-17T13:52:51.533000","2026-05-29T11:45:33.406000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-03-09","104.13","","BAÚ 3/4","BOLETO REF A MULTA DE TRANSITO DADOS DA INFRAÇÃO 2ZA1030864","DEPARTAMENTO ESTADUAL DE TRANSITO","","SDF8F89","MULTAS DE TRÂNSITO","20555","","6a09c833d1971a5cf5fb4ca3","2026-05-17T13:52:51.533000","2026-05-29T11:45:04.882000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"2026-01-27","618.86","","PRESIDÊNCIA","MULTAS FERNANDO - 3 MULTAS 130,16 / 195,23 / 293,47 - DADOS DA INFRAÇÃO: RD00189122/RD00240098/AT00194868","DEPARTAMENTO ESTADUAL DE TRANSITO","","SCU8F80","MULTAS DE TRÂNSITO","6870","","6a09c833d1971a5cf5fb4ca4","2026-05-17T13:52:51.533000","2026-05-29T11:45:40.467000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
