"category_name","is_active","category_id","driver","year","renavan","vehicle_model","tracker","plate","company","chassis","id","created_date","updated_date","created_by_id","created_by","is_sample"
"GOL","true","6a0720885c9dd6ed8a227606","","2019/2020","1224672906","VW GOL BRANCO","true","RBK2G21","SAO BENTO LIGHTING SOLUTIONS LTDA","9BWAG45V9LT108029","6a072ab5f9c32e355dc00c1f","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.789000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"SAVEIROS","true","6a0720885c9dd6ed8a22760b","","2010","203791320","VW SAVEIRO","true","NKV6598","B M F PARTICIPAÇÕES","9BWKBO5U5AP137643","6a072ab5f9c32e355dc00c2c","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.960000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"STRADAS","true","6a0720885c9dd6ed8a22760c","","2014/2015","1195074074","FIAT STRADA","true","ONP5G56","SAO BENTO LIGHTING SOLUTIONS LTDA","9BD578141F7845044","6a072ab5f9c32e355dc00c32","2026-05-15T14:16:21.330000","2026-05-15T14:26:23.053000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CESTO AÉREO","true","6a0720885c9dd6ed8a227605","","2020/2021","1257703789","VW 9-170","true","FON1F81","B M F PARTICIPAÇÕES","9535H5TB9MR134642","6a072ab5f9c32e355dc00c1a","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.695000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"RANGER","true","6a0720885c9dd6ed8a22760a","","2020/2021","1241209917","RANGER XLS 2.2 (NEYDSON)","true","RBK9F96","B M F PARTICIPAÇÕES","8AFAR22NXMJ203081","6a072ab5f9c32e355dc00c2b","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.950000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"PRESIDÊNCIA","true","6a0720885c9dd6ed8a227609","","2024","1398123681","PORSCHE 911 CARRERA S","false","SCF8F89","B M F PARTICIPAÇÕES","WP0AB2990RS218761","6a072ab5f9c32e355dc00c28","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.911000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"TRUCK","true","6a0720885c9dd6ed8a22760d","","2024/2025","1399494934","M.BENZ ATEGO 2429CE BAU 10MTS","true","SCN8F89","SAO BENTO LIGHTING SOLUTIONS LTDA","9BM951511SB362958","6a072ab5f9c32e355dc00c3b","2026-05-15T14:16:21.330000","2026-05-15T14:26:23.167000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CESTO AÉREO","true","6a0720885c9dd6ed8a227605","","2018/2019","1181114460","VW 9-170","true","LTT7F84","VAMOS LOC DE C M E EQUIPAMENTOS AS","9535H5TB2KR921512","6a072ab5f9c32e355dc00c1b","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.709000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"TRUCK","true","6a0720885c9dd6ed8a22760d","","2024/2025","1399676986","M.BENZ ATEGO 2429CE CARROCERIA MADEIRA","true","SCK8F89","SAO BENTO LIGHTING SOLUTIONS LTDA","9BM951511SB362341","6a072ab5f9c32e355dc00c3a","2026-05-15T14:16:21.330000","2026-05-15T14:26:23.156000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"TRUCK","true","6a0720885c9dd6ed8a22760d","","2024/2025","1400206933","M.BENZ ATEGO 2429CE CARROCERIA ALUMINIO","true","SCP8F89","SAO BENTO LIGHTING SOLUTIONS LTDA","9BM951511SB362416","6a072ab5f9c32e355dc00c3c","2026-05-15T14:16:21.330000","2026-05-15T14:26:23.178000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"SAVEIROS","true","6a0720885c9dd6ed8a22760b","","2025","1436213999","VW SAVEIRO CS RB MF","true","TGB8F88","SAO BENTO LIGHTING SOLUTIONS LTDA","9BWKL45U5SP072668","6a072ab5f9c32e355dc00c2e","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.992000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"PRESIDÊNCIA","true","6a0720885c9dd6ed8a227609","","2023","1360607908","PORSCHE 718 CAYMAN GTS 4.0","false","SCX8F80","B M F PARTICIPAÇÕES","WP0AD2986PK271060","6a072ab5f9c32e355dc00c27","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.901000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"TRUCK","true","6a0720885c9dd6ed8a22760d","","2024/2025","1400212810","M.BENZ ATEGO 2429CE BAU 9,5MTS","true","SCB8F89","SAO BENTO LIGHTING SOLUTIONS LTDA","9BM951511SB362514","6a072ab5f9c32e355dc00c39","2026-05-15T14:16:21.330000","2026-05-15T14:26:23.148000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"STRADAS","true","6a0720885c9dd6ed8a22760c","","2024/2025","1420166414","FIAT STRADA ENDURAN CS13","true","SDB0G19","B M F PARTICIPAÇÕES","9BD281AJHSYG45051","6a072ab5f9c32e355dc00c36","2026-05-15T14:16:21.330000","2026-05-15T14:26:23.119000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"PRESIDÊNCIA","true","6a0720885c9dd6ed8a227609","","2021","1283904427","JEEP RENEGADE SPORT AT","true","RBO8B09","B M F PARTICIPAÇÕES","98861115XMK446718","6a072ab5f9c32e355dc00c24","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.850000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"SAVEIROS","true","6a0720885c9dd6ed8a22760b","","2025","1436214367","VW SAVEIRO CS RB MF","true","TGA8F88","SAO BENTO LIGHTING SOLUTIONS LTDA","9BWKL45UXSP072696","6a072ab5f9c32e355dc00c2d","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.977000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"STRADAS","true","6a0720885c9dd6ed8a22760c","","2023","1353389992","FIAT STRADA FREEDOM CD 1.3","true","SDF7I44","B M F PARTICIPAÇÕES","9BD281BPJPYY87575","6a072ab5f9c32e355dc00c34","2026-05-15T14:16:21.330000","2026-05-15T14:26:23.083000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"RANGER","true","6a0720885c9dd6ed8a22760a","","2020","1232192306","RANGER XLS 2.2","true","RBL4H34","B M F PARTICIPAÇÕES","8AFAR22N8LJ187882","6a072ab5f9c32e355dc00c2a","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.937000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"PRESIDÊNCIA","true","6a0720885c9dd6ed8a227609","","2024/2025","1413789665","CRETA","false","SBZ9D49","B M F PARTICIPAÇÕES","9BHPB81BBSP158421","6a072ab5f9c32e355dc00c25","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.863000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"GOL","true","6a0720885c9dd6ed8a227606","","2021/2022","1294547833","VW GOL CINZA","true","SCD6D92","SAO BENTO LIGHTING SOLUTIONS LTDA","9BWAG45U8NT109272","6a072ab5f9c32e355dc00c20","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.806000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"STRADAS","true","6a0720885c9dd6ed8a22760c","","2023","1349921057","FIAT STRADA ENDURANCE CS 1.4","true","SCS9D64","B M F PARTICIPAÇÕES","9BD281A2DPYY50203","6a072ab5f9c32e355dc00c33","2026-05-15T14:16:21.330000","2026-05-15T14:26:23.066000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"SAVEIROS","true","6a0720885c9dd6ed8a22760b","","2025","1436213590","VW SAVEIRO CS RB MF","true","TGC8F88","SAO BENTO LIGHTING SOLUTIONS LTDA","9BWKL45U5SP073786","6a072ab5f9c32e355dc00c2f","2026-05-15T14:16:21.330000","2026-05-15T14:26:23.006000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"STRADAS","true","6a0720885c9dd6ed8a22760c","","2024/2025","1420168654","FIAT STRADA ENDURAN CS13","true","SCY5D19","B M F PARTICIPAÇÕES","9BD281AJHSYG43105","6a072ab5f9c32e355dc00c35","2026-05-15T14:16:21.330000","2026-05-15T14:26:23.104000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CESTO AÉREO","true","6a0720885c9dd6ed8a227605","","2021/2022","1291535079","VW 11-180","true","RET5E47","SAO BENTO LIGHTING SOLUTIONS LTDA","9535V6TB4NR051670","6a072ab5f9c32e355dc00c1e","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.769000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"OUTROS","true","6a0720885c9dd6ed8a227608","","2013","593952219","CARRETINHA","false","ONF5377","SAO BENTO LIGHTING SOLUTIONS LTDA","9A9DT01CPDBDT6598","6a072ab5f9c32e355dc00c23","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.839000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"UP","true","6a0720885c9dd6ed8a22760e","","2015","1038286236","VW UP","true","OOB2688","SAO BENTO LIGHTING SOLUTIONS LTDA","9BWAG4123FT580428","6a072ab5f9c32e355dc00c3d","2026-05-15T14:16:21.330000","2026-05-15T14:26:23.187000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CESTO AÉREO","true","6a0720885c9dd6ed8a227605","","2020/2021","1257707016","VW 9-170","true","FIL2E25","B M F PARTICIPAÇÕES","9535H5TBXMR133080","6a072ab5f9c32e355dc00c19","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.683000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"SAVEIROS","true","6a0720885c9dd6ed8a22760b","","2025","1439764066","VW SAVEIRO CS RB MF","true","TGE8F88","SAO BENTO LIGHTING SOLUTIONS LTDA","9BWKL45UXTP004495","6a072ab5f9c32e355dc00c31","2026-05-15T14:16:21.330000","2026-05-15T14:26:23.035000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"TRUCK","true","6a0720885c9dd6ed8a22760d","","2024/2025","1400206364","M.BENZ ATEGO 2429CE CAÇAMBA","true","SCA8F89","SAO BENTO LIGHTING SOLUTIONS LTDA","9BM951511SB362401","6a072ab5f9c32e355dc00c38","2026-05-15T14:16:21.330000","2026-05-15T14:26:23.139000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"PRESIDÊNCIA","true","6a0720885c9dd6ed8a227609","","2022/2023","1297807259","TOYOTA COROLLA XEI 20","true","RTK7F94","B M F PARTICIPAÇÕES","9BRB33BE0P2108295","6a072ab5f9c32e355dc00c29","2026-05-15T14:16:21.330000","2026-05-15T14:26:22.925000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CESTO AÉREO","true","6a0720885c9dd6ed8a227605","","2019/2020","1213627564","VW 9-160","true","LUE3B05","SAO BENTO LIGHTING SOLUTIONS LTDA","9535C3TC4LR006321","6a072ab5f9c32e355dc00c14","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.516000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"BAÚ 3/4","true","6a0720885c9dd6ed8a227601","","2024/2025","1404350400","M.BENZ ACCELO 1017 CE","true","SDK8F89","SAO BENTO LIGHTING SOLUTIONS LTDA","9BM951104SB381238","6a072ab5f9c32e355dc00c08","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.190000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CESTO AÉREO","true","6a0720885c9dd6ed8a227605","","2015","1051677928","VW 8-160","true","PQH1H93","SAO BENTO LIGHTING SOLUTIONS LTDA","9531M52P5FR517035","6a072ab5f9c32e355dc00c12","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.358000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CESTO AÉREO","true","6a0720885c9dd6ed8a227605","","2020/2021","1260693233","VW 9-170","true","FCG0F18","B M F PARTICIPAÇÕES","9535H5TB9MR132745","6a072ab5f9c32e355dc00c18","2026-05-15T14:16:21.329000","2026-05-19T17:34:36.510000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CAVALO","true","6a0720885c9dd6ed8a227604","","2021","1261169287","DAF XF FTS 480","true","RCJ1E32","SAO BENTO LIGHTING SOLUTIONS LTDA","98PTSH430MB118101","6a072ab5f9c32e355dc00c0e","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.275000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CAVALO","true","6a0720885c9dd6ed8a227604","","2024/2024","1398472465","M.BENZ ACTROS 2651S","true","SCE8F89","SAO BENTO LIGHTING SOLUTIONS LTDA","9BM963414RB372280","6a072ab5f9c32e355dc00c0f","2026-05-15T14:16:21.329000","2026-05-19T18:17:46.811000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CESTO AÉREO","true","6a0720885c9dd6ed8a227605","","2015","1057259486","VW 8-160","true","PQH4B83","SAO BENTO LIGHTING SOLUTIONS LTDA","9531M52P4FR517110","6a072ab5f9c32e355dc00c11","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.324000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CARRETAS LS","true","6a0720885c9dd6ed8a227603","","2024/2024","1398032350","CARRETA LIBRELATO CRBAENI2","false","SCR8F89","B M F PARTICIPAÇÕES","97T0BN633R2000171","6a072ab5f9c32e355dc00c0d","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.262000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"BI-CAÇAMBA","true","6a0720885c9dd6ed8a227602","","2021","1272549108","CARRETA LIBRELATO 2E BI","false","RCI5J55","SAO BENTO LIGHTING SOLUTIONS LTDA","97T0BN422M2007698","6a072ab5f9c32e355dc00c0b","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.231000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"AMAROK","true","6a0720885c9dd6ed8a227600","","2021","1284922615","AMAROK V6","true","RCN9D48","B M F PARTICIPAÇÕES","WV1DA22H7NA000713","6a072ab5f9c32e355dc00c06","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.129000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"BAÚ 3/4","true","6a0720885c9dd6ed8a227601","","2024/2025","1404772666","M.BENZ ACCELO 1017 CE","true","SDN8F89","SAO BENTO LIGHTING SOLUTIONS LTDA","9BM951104SB381278","6a072ab5f9c32e355dc00c09","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.212000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CESTO AÉREO","true","6a0720885c9dd6ed8a227605","","2017/2018","1232274264","VW 9-160","true","JAC4I67","SAO BENTO LIGHTING SOLUTIONS LTDA","9535C3TC2JR820223","6a072ab5f9c32e355dc00c13","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.496000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CARRETAS LS","true","6a0720885c9dd6ed8a227603","","2020","1227836250","CARRETA LIBRELATO 3E (DAFE)","false","RAE7F23","B M F PARTICIPAÇÕES","97T0BN633L2001304","6a072ab5f9c32e355dc00c0c","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.250000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CESTO AÉREO","true","6a0720885c9dd6ed8a227605","","2020/2021","1260692040","VW 9-170","true","ERG1E95","B M F PARTICIPAÇÕES","9535H5TB8MR133806","6a072ab5f9c32e355dc00c17","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.643000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CAVALO","true","6a0720885c9dd6ed8a227604","","2021/2022","1273861709","DAF XF FTT 530","true","RCN5F85","SAO BENTO LIGHTING SOLUTIONS LTDA","98PTTH430NB120023","6a072ab5f9c32e355dc00c10","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.303000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CESTO AÉREO","true","6a0720885c9dd6ed8a227605","","2019/2020","1212943063","VW 9-160","true","LTY4G44","SAO BENTO LIGHTING SOLUTIONS LTDA","9535C3TC2LR003045","6a072ab5f9c32e355dc00c15","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.575000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"BI-CAÇAMBA","true","6a0720885c9dd6ed8a227602","","2021","1272549043","CARRETA LIBRELATO 2E BI","false","RCI5J45","SAO BENTO LIGHTING SOLUTIONS LTDA","97T2BD432M2007698","6a072ab5f9c32e355dc00c0a","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.221000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"CESTO AÉREO","true","6a0720885c9dd6ed8a227605","","2020/2021","1257707040","VW 9-170","true","EDB0F96","B M F PARTICIPAÇÕES","9535H5TBXMR133919","6a072ab5f9c32e355dc00c16","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.627000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"BAÚ 3/4","true","6a0720885c9dd6ed8a227601","","2024/2025","1404772941","M.BENZ ACCELO 1017 CE","true","SDF8F89","SAO BENTO LIGHTING SOLUTIONS LTDA","9BM951104SB381315","6a072ab5f9c32e355dc00c07","2026-05-15T14:16:21.329000","2026-05-15T14:26:22.160000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
